town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
542652,Bánovce nad Bebravou,48.72413765,18.26397423,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,662.33,"26,548,133",17584,0,0,29.6,34
556793,Borčany,48.6563788,18.2193755,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,84.08,"3,109,996",262,10.9,16,38.9,45
542741,Brezolupy,48.7011174,18.3014814,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,81.88,"6,338,200",519,6.8,9,35.4,35
556408,Chudá Lehota,48.6467562,18.198307,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,60.67,"3,667,112",223,12.8,19,40.8,48
542806,Čierna Lehota - Bánovce nad Bebravou,48.8675544,18.3338423,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,7.43,"15,208,948",113,25.6,35,37.1,46
542776,Cimenná,48.7266632,18.1405663,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,27.93,"3,597,753",101,13.2,20,27.4,34
542822,Dežerice,48.761706,18.2133311,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,78.67,"13,036,065",1026,6.9,10,24.4,26
542849,Dolné Naštice,48.6929658,18.2498537,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,124.44,"4,636,731",577,4,7,32,36
542857,Dubnička,48.7646405,18.3000791,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,15.54,"8,109,268",126,10.3,15,33.5,37
542873,Dvorec,48.7083092,18.2187149,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,170.06,"2,660,852",453,5.2,9,30.6,36
