town_code,town,district,region,population,website,email,source,status
542652,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,17584,https://www.banovce.sk,primator@banovce.sk,xls,ok
556793,Borčany,Bánovce nad Bebravou,Trenčiansky kraj,262,https://www.borcany.sk,obec@borcany.sk,guessed,ok
542741,Brezolupy,Bánovce nad Bebravou,Trenčiansky kraj,519,https://www.obecbrezolupy.sk,brezolupyocu@gmail.com,xls,ok
556408,Chudá Lehota,Bánovce nad Bebravou,Trenčiansky kraj,223,https://www.chudalehota.sk,obecchudalehota@stonline.sk,xls,ok
542806,Čierna Lehota - Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,113,,,none,no_website
542776,Cimenná,Bánovce nad Bebravou,Trenčiansky kraj,101,https://www.cimenna.sk,info@cimenna.sk,guessed,ok
542822,Dežerice,Bánovce nad Bebravou,Trenčiansky kraj,1026,https://www.dezerice.sk,obecdezerice@post.sk,guessed,ok
542849,Dolné Naštice,Bánovce nad Bebravou,Trenčiansky kraj,577,https://www.dolnenastice.sk,obecdolnenastice@stonline.sk,xls,ok
542857,Dubnička,Bánovce nad Bebravou,Trenčiansky kraj,126,https://www.dubnicka.sk,obec.dubnicka@slovanet.sk,guessed,ok
542873,Dvorec,Bánovce nad Bebravou,Trenčiansky kraj,453,https://www.dvorec.sk,obec@dvorec.sk,guessed,ok
542890,Haláčovce,Bánovce nad Bebravou,Trenčiansky kraj,366,https://www.halacovce.sk,info@webex.sk,guessed,ok
542920,Horné Naštice,Bánovce nad Bebravou,Trenčiansky kraj,501,https://www.obechornenastice.sk,ocu@obechornenastice.sk,xls,ok
543080,Krásna Ves,Bánovce nad Bebravou,Trenčiansky kraj,505,https://www.krasnaves.sk,obec@krasnaves.sk,xls,ok
543136,Kšinná,Bánovce nad Bebravou,Trenčiansky kraj,490,https://www.ksinnazavada.sk,obec.ksinna@post.sk,xls,ok
556360,Libichava,Bánovce nad Bebravou,Trenčiansky kraj,141,https://obeclibichava.sk,oculibichava@gmail.com,guessed,ok
505056,Ľutov,Bánovce nad Bebravou,Trenčiansky kraj,172,https://www.lutov.sk,info@lutov.sk,guessed,ok
505072,Malá Hradná,Bánovce nad Bebravou,Trenčiansky kraj,396,,obecmhradna@centrum.sk,none,no_website
505102,Malé Hoste,Bánovce nad Bebravou,Trenčiansky kraj,396,https://www.malehoste.sk,obec.malehoste@gmail.com,xls,ok
505153,Miezgovce,Bánovce nad Bebravou,Trenčiansky kraj,283,https://www.miezgovce.sk,obec@miezgovce.sk,guessed,ok
505200,Nedašovce,Bánovce nad Bebravou,Trenčiansky kraj,443,https://www.nedasovce.sk,info@nedasovce.sk,guessed,ok
505277,Omastiná,Bánovce nad Bebravou,Trenčiansky kraj,42,https://www.omastina.sk,info@omastina.sk,guessed,ok
556289,Otrhánky,Bánovce nad Bebravou,Trenčiansky kraj,395,https://www.otrhanky.sk,obec@otrhanky.sk,guessed,ok
505331,Pečeňany,Bánovce nad Bebravou,Trenčiansky kraj,521,https://obecpecenany.sk,urad@obecpecenany.sk,guessed,ok
556742,Pochabany,Bánovce nad Bebravou,Trenčiansky kraj,260,https://www.obecpochabany.sk,obecpochabany@gmail.com,guessed,ok
505358,Podlužany - Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,889,,,none,no_website
505382,Pravotice,Bánovce nad Bebravou,Trenčiansky kraj,339,https://www.obecpravotice.sk,starosta@obecpravotice.sk,guessed,ok
505412,Prusy,Bánovce nad Bebravou,Trenčiansky kraj,620,https://www.prusy.sk,starosta@prusy.sk,guessed,ok
505447,Ruskovce - Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,521,,,none,no_website
